time_stamp,requests_number
0,43
0,9
0,33
2,1
18,33
18,1
18,13
18,33
18,3
26,9
26,1
26,9
37,13
37,35
37,3
37,1
37,33
42,1
71,2
71,500
71,1
71,1
71,1
71,1
71,1
71,19
71,2
71,1
71,1
72,1
72,67
72,2
72,1
72,500
72,2
72,403
72,1
72,2
72,1
72,1
72,1
72,1
72,1
72,2
72,2
72,1
72,1
72,1
72,1
72,1
72,1
72,500
75,2
75,500
75,1
75,2
75,1
75,2
75,419
75,2
75,1
75,2
75,1
75,2
75,1
75,1
75,1
75,2
79,500
79,1
79,1
79,1
79,2
79,225
79,2
79,1
79,1
79,1
79,1
81,159
81,158
81,159
81,1
83,3
83,1
83,13
83,33
83,33
85,111
85,33
85,13
85,1
85,3
85,50
85,84
85,1
93,313
93,305
93,271
93,22
93,19
93,62
93,309
93,385
94,119
94,64
103,31
103,6
103,7
103,1
103,3
103,91
103,1
103,1
110,33
110,1
110,13
110,33
110,3
111,11
111,39
111,1
111,1
111,1
111,41
111,1
111,3
111,1
113,5
117,1
122,309
122,305
122,62
122,19
122,385
122,271
122,22
122,313
135,1
135,49
135,7
135,2
135,1
135,1
135,1
135,1
135,1
135,1
135,53
135,1
135,500
135,38
135,1
135,53
135,10
135,2
135,1
135,1152
137,13
137,6
137,21
137,21
137,4
137,1
137,9
137,1
146,133
146,251
147,100
147,127
155,1
155,500
155,35
155,1
155,1
155,2
155,1
155,1
155,1
155,1
155,1
162,5
162,1
162,7
162,1
162,1
162,1
162,1
162,1
164,13
164,33
164,3
164,1
164,33
166,34
166,127
166,6
166,53
166,17
166,69
170,123
170,125
170,1
170,5
170,75
170,1
170,1
170,1
170,500
170,1
170,1
170,1
170,1
170,1
170,2
170,2
170,209
177,1152
178,1
178,33
178,3
178,33
178,13
181,2
181,1
181,1
181,1
181,1
181,419
181,2
181,2
181,207
181,1
181,1
181,2
181,2
181,500
181,1
181,2
181,2
181,1
181,1
181,1
181,1
181,1
181,500
181,2
181,403
181,1
181,1
181,1
181,1
181,2
181,2
183,145
183,1
183,1
197,1
205,33
205,3
205,1
205,36
205,13
207,501
207,551
222,1
222,1
222,2
222,2
222,2
222,1
222,407
222,1
222,1
222,2
222,2
222,1
222,1
222,1
222,2
222,500
227,13
227,3
227,33
227,1
227,33
231,36
231,3
231,13
231,33
231,1
234,94
234,1
234,157
234,1
252,13
252,1
252,33
252,3
252,33
259,43
271,1
271,36
271,500
271,3
271,2
271,1
271,1
271,2
271,1
271,1
271,131
271,1
271,1
271,33
271,13
271,1
272,86
272,283
272,93
273,23
273,255
273,86
273,45
273,86
273,263
275,2
275,383
275,2
275,1
275,1
275,1
275,1
275,500
275,2
275,1
275,1
275,1
281,31
281,269
281,86
283,9
283,129
283,75
283,9
283,129
283,9
286,33
286,13
286,33
286,3
286,1
292,93
292,283
292,86
300,1
300,21
300,59
314,151
321,723
321,543
323,8
323,457
323,33
323,33
323,13
323,1
323,448
323,3
324,155
324,159
327,175
327,237
327,3
337,3
337,23
337,367
337,3
337,3
337,2
337,3
337,3
337,37
337,2
337,20
337,1
337,1
345,1
345,2
345,3
346,2
346,1
346,1
346,1
346,2
346,1
346,1
346,5000
346,567
346,5000
346,1
346,5000
347,8
347,448
347,457
361,283
361,179
361,171
361,181
361,53
361,1
368,1
368,13
368,33
368,3
368,33
375,2
375,1
375,1
375,1
375,500
375,2
375,19
375,1
375,1
375,1
375,1
387,1
387,30
387,2001
387,1
387,56
387,3
387,61
387,5000
387,1
387,5000
387,1
387,1
387,1
387,1
387,30
387,21
388,5007
390,3
390,1
390,1
390,327
390,323
390,1
390,327
390,3
393,1
419,14
443,3
459,500
459,35
459,1
459,1
459,1
459,1
459,1
459,1
459,1
459,2
459,1
470,1
470,1
470,2
470,1
470,500
470,2
470,335
470,1
470,1
470,1
470,1
475,2
475,63
475,91
475,1
475,91
475,1
475,57
475,27
475,91
475,5
478,3
491,1
491,2
499,2
499,1
499,2
499,1
499,1
499,1
499,1
499,179
499,500
499,1
499,1
502,100
502,998
502,2
502,1
502,100
503,1
508,474
508,1113
508,203
508,197
508,201
510,131
510,135
510,114
516,1
519,3
530,1
530,94
534,94
534,1
538,94
538,1
561,1
565,1
565,92
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,1
570,1
581,17
584,190
584,560
584,219
584,489
584,693
585,1
585,42
585,42
585,513
585,690
585,788
588,166
588,325
588,1
588,57
593,10
601,2
601,369
601,437
608,513
609,692
609,789
615,133
615,263
621,389
621,268
622,123
622,123
622,364
622,123
624,432
624,1
624,447
626,1
626,634
626,541
628,145
628,54
633,10707
634,3
634,3
634,3
634,2
635,123
635,45
643,63
643,209
643,6
643,768
643,117
643,254
643,113
646,219
646,210
646,23
646,165
646,17
646,35
647,1000
647,5
647,1000
651,21000
653,3
654,1
654,1
654,341
654,1
654,1
654,1021
654,1019
654,1111
654,1
655,1
655,99
655,1
655,1
655,1
655,1
655,505
677,617
677,1850
677,617
686,1
686,117
686,209
686,63
687,1
687,113
687,6
687,254
687,1
687,1
687,768
688,4368
692,1
692,1
692,1
692,3
692,1
696,1
696,634
696,551
720,4
720,11
728,1
728,1
728,1
728,1
728,1
728,5
728,5
728,1
728,1
728,1
733,3
733,1
733,1
733,3
733,3
733,1
733,1
733,3
733,1
733,1
747,124
747,45
751,432
751,1
751,457
760,146
760,3
760,1
760,1
760,3
760,1
760,1
760,3
760,3
760,54
760,7
782,53
782,155
785,5
797,5
797,1
797,1
797,1
797,1
797,1
797,1
797,1
798,1
804,1
804,1
804,1
804,1
804,5
804,1
804,1
804,11
804,5
804,11
804,5
826,1
826,292
826,269
835,281
835,37
835,3
841,1
842,25
842,1
842,37
842,1
842,25
842,7
842,49
842,7
842,10
842,1
842,3
842,97
842,9
842,7
842,3
842,1
842,21
842,1
842,3
842,61
842,1
842,9
842,21
846,43
846,69
851,1
851,2
851,11
851,11
851,23
851,723
852,724
852,253
852,716
856,292
856,269
856,1
859,1
859,269
859,292
862,1
862,1
862,1
862,1
862,1
862,1
862,1
862,1
862,1
862,1
862,1
862,269
862,1
862,292
863,1
863,269
863,292
866,269
866,1
866,292
874,1
874,5
874,977
874,47
874,54
874,1
874,925
874,5354
874,19
875,139
877,6
880,9
882,1
882,1
885,282
886,1
886,1
894,45
894,130
894,45
894,45
901,1
901,192
902,5
902,3
902,1
902,1
902,1
902,1
902,1
910,1
910,1
910,99
910,1
910,1
910,23
910,107
910,1
910,4
910,28
910,1
910,97
910,32
910,1
915,1
915,1
915,1
915,3
915,1
923,891
923,25
950,773
950,1
950,1
950,239
950,1
950,1
950,239
950,289
950,289
950,773
952,99
953,1
953,43
953,45
953,1
953,41
953,1
953,5
953,49
953,41
953,47
953,43
964,5
964,1
964,1
964,1
964,1
964,1
964,1
964,1
964,1
964,1
964,1
964,5
968,1
968,1
978,1
978,1
978,1
978,3
982,1
982,3
982,1
982,3
982,3
982,1
985,1
985,1
985,11
985,5
985,1
985,1
985,1
985,1
985,5
985,5
985,11
990,1
990,1
990,1
990,1
990,1
990,1
990,1
990,1
990,1
990,1
990,1
1010,30
1010,11
1010,13
1010,71
1010,23
1010,48
1010,13
1010,69
1010,71
1010,55
1010,23
1010,1
1013,397
1013,217
1013,5
1014,12
1024,1
1024,1
1024,1
1024,1
1024,1
1024,1
1024,93
1024,1
1024,2112
1024,1
1024,1
1024,1
1024,1
1034,795
1034,795
1034,1
1034,465
1034,1
1034,1
1034,1553
1040,1
1042,3
1042,1
1042,1
1042,1
1042,7
1042,3
1042,1
1042,3
1042,3
1056,123
1059,7
1075,51
1075,150
1075,62
1075,299
1077,2
1077,259
1077,261
1077,295
1077,261
1077,15
1082,1
1082,1
1082,1
1082,1
1082,1
1082,1
1082,5
1082,1
1084,27
1084,1
1084,5
1084,7
1084,19
1088,1085
1088,15
1096,33
1096,44
1096,1
1096,13
1096,3
1100,1
1127,321
1127,2
1127,253
1127,9
1127,13
1127,283
1127,318
1127,605
1127,15
1127,291
1130,38
1130,2
1130,325
1130,75
1130,353
1130,331
1130,265
1130,87
1131,1
1137,100
1137,1
1137,998
1137,100
1137,2
1141,15
1141,39
1141,113
1141,113
1141,241
1141,112
1141,113
1153,1
1153,1
1156,9
1156,1
1156,7
1156,97
1156,3
1156,7
1156,25
1156,1
1156,9
1156,21
1156,61
1156,3
1156,7
1156,1
1156,49
1156,25
1156,37
1156,10
1156,1
1156,1
1156,3
1156,21
1156,1
1162,15
1162,33
1162,13
1162,8
1162,13
1162,29
1162,13
1162,3
1162,14
1163,230
1163,2
1163,397
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,60
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,75
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1167,1
1168,38
1168,265
1168,2
1168,87
1168,325
1168,75
1168,353
1168,331
1172,1111
1172,1
1172,1
1172,33
1172,1867
1172,13
1172,33
1172,1
1172,3
1172,1
1172,3
1172,1
1172,1111
1172,236
1172,619
1172,382
1172,1
1173,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,75
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,60
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1
1189,1440
1189,481
1190,1
1191,827
1191,825
1191,2
1191,827
1196,1
1196,95
1196,158
1196,1
1209,135
1218,2
1218,78
1223,3
1223,90
1223,315
1223,395
1223,7
1223,9
1223,5
1223,90
1223,275
1239,500
1239,1
1239,1
1239,1
1239,7
1239,1
1239,1
1239,1
1241,40
1241,291
1241,127
1242,195
1242,100
1242,35
1242,159
1242,158
1242,195
1244,1
1244,10
1244,78
1244,263
1244,295
1254,4
1254,349
1254,158
1254,3
1254,167
1254,6
1254,159
1254,151
1258,15
1258,55
1258,1
1258,1
1258,5
1258,19
1258,7
1258,33
1258,43
1258,1
1258,3
1258,1
1258,5
1258,471
1258,33
1258,3
1258,3
1258,485
1258,5
1258,15
1258,31
1258,1
1258,1
1258,3
1258,25
1258,3
1259,268
1259,389
1272,17
1272,183
1272,220
1272,241
1282,91
1282,59
1282,3
1282,28
1282,87
1283,1
1283,71
1283,25
1283,13
1283,1
1283,1
1286,1
1286,191
1286,1
1286,277
1286,283
1286,1
1286,1
1286,1
1287,1
1291,1
1291,151
1291,349
1296,1
1296,96
1300,5
1300,1
1300,7
1300,27
1300,19
1301,1
1301,96
1303,1
1303,5
1303,1
1303,3
1303,15
1303,5
1303,3
1303,25
1303,3
1303,31
1303,5
1303,43
1303,471
1303,33
1303,485
1303,1
1303,19
1303,33
1303,1
1303,15
1303,1
1303,3
1303,3
1304,1
1304,7
1304,55
1308,3
1308,229
1308,15
1308,77
1308,25
1308,15
1308,3
1308,103
1308,25
1308,103
1308,7
1308,7
1308,1
1308,69
1308,3
1308,7
1308,96
1311,49
1311,1
1314,1
1314,135
1314,78
1314,53
1314,1
1324,187
1324,19
1324,153
1324,1
1324,13
1324,191
1324,8
1324,7
1329,33
1329,1
1329,33
1329,13
1329,3
1333,5
1334,1
1334,10
1338,73
1338,1
1338,1
1338,1
1338,565
1338,161
1338,109
1338,1
1342,1
1342,1
1342,1
1342,1
1342,1
1342,27
1342,1
1342,1
1342,1
1342,1
1342,1
1342,1
1342,1
1342,247
1342,1
1342,1
1342,1
1342,1
1342,1
1342,1
1342,19
1342,1
1342,1
1342,194
1342,15
1347,1
1347,1
1347,1
1347,1
1352,1
1358,153
1358,409
1358,1
1358,149
1358,1111
1358,3
1358,1111
1358,1
1358,108
1358,109
1364,13
1364,33
1364,3
1364,33
1364,1
1365,5
1365,149
1365,10
1365,155
1365,149
1373,247
1373,194
1377,13
1377,3
1377,1
1377,33
1377,33
1381,3
1381,111
